epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,2434.43,1.15081,0.90096,1.41439,0.89717,0.87528,0.94176,0.64879,1.15983,0.63755,1.36051,0.0094357,0.0094357,0.0094357
116,2455.25,1.17944,0.86782,1.43984,0.90488,0.87596,0.94352,0.65499,1.16747,0.61378,1.36396,0.00943075,0.00943075,0.00943075
117,2477.21,1.18913,0.92612,1.44397,0.85156,0.90131,0.93483,0.66604,1.10111,0.62723,1.33044,0.0094258,0.0094258,0.0094258
118,2498.28,1.16259,0.9005,1.44319,0.89284,0.85663,0.93509,0.66404,1.10045,0.66868,1.32339,0.00942085,0.00942085,0.00942085
119,2519.46,1.17253,0.88901,1.44164,0.92501,0.83437,0.93725,0.67796,1.0624,0.60722,1.30579,0.0094159,0.0094159,0.0094159
120,2540.59,1.1694,0.86667,1.42643,0.86896,0.8727,0.93718,0.66711,1.10932,0.61737,1.32772,0.00941095,0.00941095,0.00941095
121,2561.76,1.1682,0.90551,1.41204,0.89834,0.86447,0.93181,0.65797,1.14169,0.64003,1.34701,0.009406,0.009406,0.009406
122,2582.98,1.17424,0.89339,1.43262,0.88045,0.88252,0.93055,0.64259,1.18351,0.67782,1.38898,0.00940105,0.00940105,0.00940105
123,2603.74,1.14136,0.86401,1.40962,0.88195,0.88168,0.92963,0.63841,1.16377,0.65929,1.38567,0.0093961,0.0093961,0.0093961
124,2625.12,1.12938,0.88955,1.40935,0.8715,0.89384,0.93791,0.65647,1.12871,0.60028,1.35056,0.00939115,0.00939115,0.00939115
125,2645.91,1.12859,0.9097,1.39957,0.85189,0.91394,0.94336,0.67293,1.07492,0.61708,1.31447,0.0093862,0.0093862,0.0093862
126,2667.41,1.16251,0.90892,1.42239,0.83106,0.91928,0.93397,0.6545,1.14334,0.63243,1.35372,0.00938125,0.00938125,0.00938125
127,2688.48,1.17524,0.91083,1.42894,0.85193,0.90943,0.92799,0.63792,1.18104,0.63645,1.36203,0.0093763,0.0093763,0.0093763
128,2710.19,1.13179,0.85599,1.40528,0.86304,0.90943,0.93599,0.64554,1.14187,0.60224,1.33923,0.00937135,0.00937135,0.00937135
129,2731.17,1.15734,0.90646,1.42244,0.86164,0.86404,0.92235,0.63198,1.18994,0.67823,1.37505,0.0093664,0.0093664,0.0093664
130,2752.38,1.13012,0.87164,1.40793,0.90286,0.86552,0.94115,0.66937,1.1304,0.60281,1.34434,0.00936145,0.00936145,0.00936145
131,2773.98,1.15391,0.89827,1.41962,0.87743,0.88283,0.92956,0.65109,1.15561,0.63787,1.35853,0.0093565,0.0093565,0.0093565
132,2794.99,1.14378,0.88268,1.42642,0.87922,0.89547,0.92844,0.65705,1.11683,0.64214,1.3533,0.00935155,0.00935155,0.00935155
133,2817.09,1.16779,0.88562,1.42827,0.86645,0.87548,0.9219,0.65002,1.12853,0.64859,1.36748,0.0093466,0.0093466,0.0093466
134,2837.78,1.1595,0.89786,1.43674,0.85255,0.89058,0.91815,0.64904,1.13259,0.64089,1.35737,0.00934165,0.00934165,0.00934165
135,2859.49,1.14093,0.87183,1.42019,0.84673,0.90756,0.935,0.6528,1.15365,0.65346,1.36506,0.0093367,0.0093367,0.0093367
136,2880.19,1.14698,0.896,1.41728,0.84747,0.92283,0.92984,0.65198,1.12661,0.6337,1.35264,0.00933175,0.00933175,0.00933175
137,2901.8,1.14624,0.88947,1.43032,0.84224,0.89425,0.92303,0.65424,1.09499,0.6566,1.33477,0.0093268,0.0093268,0.0093268
138,2922.88,1.17593,0.89381,1.43479,0.8673,0.8746,0.92498,0.64778,1.11241,0.62286,1.34246,0.00932185,0.00932185,0.00932185
139,2943.89,1.15712,0.88991,1.42882,0.86464,0.88671,0.92517,0.62347,1.18774,0.64894,1.38954,0.0093169,0.0093169,0.0093169
