epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,2640.42,0.82408,0.60943,1.08782,0.90149,0.87161,0.92838,0.65824,1.0422,0.65142,1.1698,0.00999446,0.00999446,0.00999446
114,2663.71,0.82494,0.63676,1.08689,0.89564,0.86782,0.93207,0.66482,1.04136,0.6289,1.18276,0.00999441,0.00999441,0.00999441
115,2687.02,0.8122,0.62371,1.08878,0.86659,0.91705,0.92588,0.64464,1.09826,0.65901,1.21248,0.00999436,0.00999436,0.00999436
116,2710.48,0.82607,0.61006,1.09322,0.87432,0.89595,0.93109,0.6838,1.03703,0.63428,1.17095,0.00999431,0.00999431,0.00999431
117,2733.65,0.82622,0.61229,1.0882,0.88278,0.90934,0.93144,0.67601,1.04858,0.62498,1.18191,0.00999426,0.00999426,0.00999426
118,2756.72,0.80866,0.60216,1.08224,0.89643,0.86129,0.92384,0.64715,1.09387,0.64193,1.1964,0.00999421,0.00999421,0.00999421
119,2780,0.83745,0.62183,1.09699,0.86841,0.90406,0.925,0.6587,1.05488,0.65059,1.18001,0.00999416,0.00999416,0.00999416
120,2803.36,0.82356,0.64073,1.096,0.84436,0.90795,0.93503,0.67129,1.06292,0.63742,1.19799,0.00999411,0.00999411,0.00999411
121,2826.61,0.82551,0.62705,1.08912,0.8998,0.85643,0.92061,0.65798,1.05101,0.67653,1.19047,0.00999406,0.00999406,0.00999406
122,2849.87,0.79666,0.57714,1.06435,0.86702,0.89303,0.92253,0.67313,1.0549,0.63697,1.201,0.00999401,0.00999401,0.00999401
123,2873.15,0.80061,0.59821,1.07062,0.89842,0.86622,0.91623,0.65975,1.08235,0.67335,1.19869,0.00999396,0.00999396,0.00999396
124,2896.82,0.83046,0.59604,1.09725,0.8378,0.91316,0.9212,0.66409,1.08378,0.65387,1.21514,0.00999391,0.00999391,0.00999391
125,2920.22,0.80457,0.62601,1.08468,0.92198,0.86412,0.93529,0.68472,1.0515,0.62812,1.18893,0.00999386,0.00999386,0.00999386
126,2943.47,0.83062,0.64286,1.102,0.85435,0.90175,0.92875,0.67267,1.07268,0.6745,1.19971,0.00999381,0.00999381,0.00999381
127,2966.69,0.81504,0.63582,1.08781,0.88827,0.8618,0.91805,0.64845,1.07823,0.69552,1.21667,0.00999376,0.00999376,0.00999376
128,2990.18,0.81838,0.61234,1.08565,0.87735,0.86777,0.91605,0.65429,1.0753,0.69636,1.19882,0.00999371,0.00999371,0.00999371
129,3013.63,0.83069,0.60934,1.08794,0.88827,0.88289,0.92427,0.6728,1.06321,0.66508,1.19376,0.00999366,0.00999366,0.00999366
130,3036.81,0.81695,0.63125,1.08556,0.86559,0.89798,0.92677,0.67636,1.06801,0.65156,1.1762,0.00999361,0.00999361,0.00999361
131,3060.01,0.84039,0.63119,1.10364,0.87246,0.87916,0.93226,0.67369,1.06406,0.63665,1.18681,0.00999356,0.00999356,0.00999356
132,3083.25,0.8108,0.61958,1.09323,0.90109,0.87927,0.9267,0.67283,1.0556,0.62957,1.20088,0.00999352,0.00999352,0.00999352
133,3106.56,0.8182,0.64277,1.09722,0.86988,0.871,0.89839,0.62873,1.10431,0.6847,1.24151,0.00999347,0.00999347,0.00999347
134,3129.74,0.82072,0.58832,1.09577,0.86706,0.90386,0.935,0.67467,1.06596,0.63044,1.20786,0.00999342,0.00999342,0.00999342
135,3153.16,0.80139,0.61653,1.08705,0.84183,0.89775,0.91209,0.64643,1.09625,0.6912,1.20892,0.00999337,0.00999337,0.00999337
136,3176.35,0.82132,0.62921,1.09561,0.84343,0.90913,0.91494,0.65531,1.05237,0.6547,1.18236,0.00999332,0.00999332,0.00999332
137,3199.89,0.84007,0.61961,1.10864,0.90545,0.88463,0.91643,0.65782,1.06466,0.66694,1.19154,0.00999327,0.00999327,0.00999327
138,3223.14,0.82246,0.60459,1.08698,0.8699,0.87546,0.9172,0.66492,1.06974,0.69477,1.21342,0.00999322,0.00999322,0.00999322
139,3246.53,0.82822,0.62072,1.08279,0.80853,0.9281,0.922,0.66591,1.08838,0.69077,1.22495,0.00999317,0.00999317,0.00999317
140,3269.72,0.80266,0.61625,1.07827,0.86576,0.85656,0.92265,0.6693,1.07097,0.66233,1.2193,0.00999312,0.00999312,0.00999312
141,3293.01,0.83877,0.63391,1.10009,0.8622,0.89191,0.92032,0.66545,1.08113,0.673,1.22371,0.00999307,0.00999307,0.00999307
142,3316.52,0.81305,0.61123,1.09191,0.87485,0.87398,0.91423,0.65485,1.08602,0.68944,1.21717,0.00999302,0.00999302,0.00999302
143,3339.9,0.85649,0.64063,1.10595,0.87938,0.91139,0.93332,0.67266,1.06574,0.62987,1.21416,0.00999297,0.00999297,0.00999297
144,3363.07,0.84571,0.66852,1.10714,0.85918,0.89038,0.92643,0.66113,1.0725,0.65978,1.2135,0.00999292,0.00999292,0.00999292
145,3386.19,0.84488,0.61987,1.10522,0.88284,0.88295,0.9293,0.65907,1.08059,0.65702,1.20806,0.00999287,0.00999287,0.00999287
146,3409.51,0.82309,0.60302,1.09178,0.88094,0.86807,0.926,0.66209,1.0875,0.67476,1.23066,0.00999282,0.00999282,0.00999282
147,3432.83,0.82187,0.62068,1.09372,0.87904,0.87849,0.92641,0.66217,1.07604,0.67355,1.22785,0.00999277,0.00999277,0.00999277
148,3455.96,0.825,0.62099,1.09678,0.89391,0.87546,0.92804,0.66594,1.06344,0.61643,1.20914,0.00999272,0.00999272,0.00999272
149,3479.17,0.84263,0.64105,1.11704,0.89763,0.85643,0.92059,0.65863,1.07989,0.64746,1.21048,0.00999267,0.00999267,0.00999267
150,3502.95,0.82737,0.61415,1.09582,0.8844,0.89244,0.92812,0.66899,1.07944,0.63858,1.2025,0.00999262,0.00999262,0.00999262
151,3526.24,0.82791,0.62527,1.09372,0.8708,0.89285,0.92396,0.65785,1.07671,0.65713,1.1945,0.00999258,0.00999258,0.00999258
152,3549.4,0.85281,0.64191,1.10666,0.87341,0.89509,0.9294,0.66414,1.062,0.64151,1.19307,0.00999253,0.00999253,0.00999253
153,3572.74,0.80494,0.6301,1.08169,0.86301,0.9018,0.92947,0.67551,1.05372,0.63882,1.19675,0.00999248,0.00999248,0.00999248
154,3595.83,0.78348,0.59025,1.07189,0.88317,0.86301,0.91191,0.64688,1.07047,0.70682,1.2083,0.00999243,0.00999243,0.00999243
155,3619.11,0.84,0.63991,1.09024,0.84833,0.90125,0.92105,0.65476,1.07583,0.66142,1.21894,0.00999238,0.00999238,0.00999238
156,3642.5,0.82798,0.64118,1.10118,0.84537,0.92833,0.92626,0.66332,1.0874,0.61928,1.20398,0.00999233,0.00999233,0.00999233
157,3666.02,0.79467,0.61106,1.07785,0.86754,0.89318,0.93448,0.67744,1.0599,0.64389,1.18925,0.00999228,0.00999228,0.00999228
158,3689.17,0.81376,0.59642,1.07856,0.8407,0.89224,0.92144,0.66294,1.06347,0.69156,1.22975,0.00999223,0.00999223,0.00999223
159,3712.5,0.80162,0.58542,1.07605,0.90791,0.86078,0.91141,0.6525,1.06183,0.65731,1.23947,0.00999218,0.00999218,0.00999218
160,3735.83,0.79401,0.59596,1.07896,0.87218,0.87771,0.91457,0.64525,1.10197,0.69981,1.21844,0.00999213,0.00999213,0.00999213
161,3758.96,0.81507,0.61111,1.09184,0.87886,0.89412,0.92121,0.65681,1.06108,0.65986,1.19659,0.00999208,0.00999208,0.00999208
162,3782.13,0.80592,0.63841,1.08338,0.9196,0.86409,0.90541,0.64872,1.0663,0.66751,1.19781,0.00999203,0.00999203,0.00999203
163,3805.84,0.79452,0.60501,1.06653,0.88781,0.88303,0.91565,0.66465,1.04661,0.6731,1.20119,0.00999198,0.00999198,0.00999198
164,3829.12,0.79973,0.59116,1.0777,0.90585,0.88673,0.92287,0.67017,1.04783,0.62713,1.2102,0.00999193,0.00999193,0.00999193
165,3852.61,0.7998,0.61044,1.08227,0.91203,0.88452,0.93756,0.68221,1.02432,0.61439,1.19442,0.00999188,0.00999188,0.00999188
166,3875.85,0.79007,0.59141,1.0837,0.91525,0.89786,0.9274,0.66236,1.07907,0.62605,1.222,0.00999183,0.00999183,0.00999183
167,3899.29,0.81581,0.59913,1.08044,0.85913,0.9246,0.92909,0.66296,1.0827,0.65632,1.23573,0.00999178,0.00999178,0.00999178
168,3922.55,0.83403,0.63678,1.09046,0.87939,0.89259,0.92918,0.66541,1.07173,0.63851,1.22019,0.00999173,0.00999173,0.00999173
169,3945.75,0.82972,0.63076,1.09557,0.87176,0.92171,0.93007,0.66773,1.07745,0.62854,1.23475,0.00999168,0.00999168,0.00999168
